;Ts_01_V4;Ts_02_V4;Ts_03_V4;Ts_04_V4;Ts_05_V4;Ts_06_V4;Ts_07_V4;Ts_08_V4;Ts_09_V4;Ts_10_V4;Ts_11_V4;Ts_12_V4;Ts_13_V4;Ts_14_V4;Ts_15_V4;Ts_16_V4;Ts_17_V4;Ts_18_V4;Ts_19_V4;Ts_20_V4;Ts_21_V4;Ts_22_V4;Ts_23_V4;Ts_24_V4;Ts_25_V4;Ts_26_V4;Ts_27_V4;Ts_28_V4;Ts_29_V4;Ts_30_V4;Ts_31_V4;Ts_32_V4;Ts_33_V4;Ts_34_V4;Ts_35_V4;Ts_36_V4;Ts_37_V4;main_01_V1;main_02_V1;main_03_V1;main_04_V1;main_05_V1;main_06_V1;main_07_V1;main_08_V1;main_09_V1;main_10_V1;main_11_V1;main_12_V1;main_13_V1;main_14_V1;main_15_V1;main_16_V1;main_17_V1;main_18_V1;main_19_V1;main_20_V1;main_21_V1;main_22_V1;main_23_V1;main_24_V1;main_25_V1;main_26_V1;main_27_V1;main_28_V1;main_29_V1;main_30_V1;main_31_V1;main_32_V1;main_33_V1
Ts_01_V4;1;NA;0.532316142052902;NA;NA;0.581751329896723;NA;-0.774316214777142;NA;NA;NA;NA;NA;NA;NA;-0.628990547023702;NA;NA;NA;NA;NA;NA;-0.691141257098091;-0.719359507968606;NA;NA;NA;NA;-0.532942763458533;-0.510783473488476;NA;NA;NA;NA;NA;-0.613978389621643;NA;NA;NA;-0.707690700197983;-0.580744470514816;-0.786852511273483;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55520287548584;NA;NA;NA;NA;NA;NA;NA;0.79844631442535;NA;NA;0.650298252751615;NA;NA;NA;NA;NA;NA;-0.577183541984806
Ts_02_V4;NA;1;0.737084824574702;NA;NA;0.650792014710297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.652148793726205;NA;NA;NA;-0.587854049088156;-0.537530137135301;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.538436780578087;NA;NA;NA;-0.577903717610192;NA;NA;NA;NA;NA;0.641809338126089;NA;NA;NA;NA;NA;NA;NA
Ts_03_V4;0.532316142052902;0.737084824574702;1;0.517633185490987;NA;0.516373088382699;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.521270419437308;NA;-0.759688833518414;NA;NA;NA;-0.512520415948121;-0.755469617095631;-0.513231225975197;NA;NA;NA;-0.513064624979094;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.526536338964744;NA;-0.544604972948211;NA;NA;NA;0.734904153199741;NA;0.578366601823169;NA;NA;NA;NA;NA
Ts_04_V4;NA;NA;0.517633185490987;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.532123253741249;NA;NA;NA;NA;NA;NA;NA;-0.525731647074338;NA;NA;NA;NA;NA;NA;NA;NA;0.535192570352503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.54287242508321;NA;NA;NA;NA;NA;0.7577137477196;0.510010712741191;NA
Ts_05_V4;NA;NA;NA;NA;1;NA;NA;NA;0.633279618872151;0.512803849269897;NA;0.858637008783156;NA;NA;-0.542580280868526;-0.51901783096577;NA;NA;NA;NA;NA;-0.530478451303483;NA;NA;NA;NA;NA;0.743093076662375;NA;-0.522128759437592;NA;NA;NA;0.528501217117248;NA;NA;0.810369082530406;NA;0.516457190931066;NA;NA;NA;NA;NA;-0.510087653628021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.578770246994241;NA;NA;0.640933060335495;NA;NA;NA;NA;NA;NA
Ts_06_V4;0.581751329896723;0.650792014710297;0.516373088382699;NA;NA;1;NA;-0.636405315482398;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.714399307096458;NA;NA;-0.636108755108848;-0.606775502796075;-0.709702565133987;NA;NA;-0.515845197141983;NA;NA;NA;-0.637156359089566;NA;NA;NA;-0.524180621260079;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.563009496094693;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.598554885696199;NA;NA;NA;NA;NA;NA;NA
Ts_07_V4;NA;NA;NA;NA;NA;NA;1;0.514231774623944;NA;NA;NA;NA;-0.606006521083095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.701947003886526;NA;0.598821555969542;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.624867875118023;NA;NA;NA;NA;-0.630852218404472;NA;0.636789634413887;0.612064591953882;NA
Ts_08_V4;-0.774316214777142;NA;NA;NA;NA;-0.636405315482398;0.514231774623944;1;NA;NA;NA;0.698486975690047;NA;NA;NA;NA;NA;NA;NA;NA;-0.52230354294072;NA;NA;0.744503135951445;NA;NA;NA;0.62919212447844;NA;NA;NA;NA;NA;NA;NA;0.64175732225811;0.763406005618058;NA;0.508936995178049;0.525045752889608;NA;0.703617454636069;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.677679218206871;NA;NA;NA;NA;NA;NA;NA;-0.694608762873525;NA;-0.635040213612524;-0.553721675923373;0.62930511793912;NA;NA;NA;0.556200636290934;0.636851832818532;NA
Ts_09_V4;NA;NA;NA;NA;0.633279618872151;NA;NA;NA;1;0.631859019126963;NA;NA;-0.514374076573464;NA;-0.593920377887216;-0.627580529196264;0.778590275347443;NA;NA;NA;NA;-0.695667979270848;NA;NA;NA;NA;NA;NA;NA;-0.701184315102089;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.71601687508652;-0.561567823276468;-0.604315972140567;NA;NA;-0.588891281709068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.625408712639244;NA;0.752002714573401;NA;NA;0.659259094291279;NA;NA;NA;NA;NA;NA;-0.519803273690179
Ts_10_V4;NA;NA;NA;NA;0.512803849269897;NA;NA;NA;0.631859019126963;1;NA;0.657202313494777;-0.574107851068722;NA;-0.578444224178095;NA;NA;NA;NA;-0.591732848519362;NA;-0.573091494807448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.533110846584289;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.555800027486675;NA;NA;NA;-0.718822411194625;NA;NA;NA;NA;NA;NA;0.556299653106379;NA;NA;NA;NA;NA
