;Ts_01_V4;Ts_02_V4;Ts_03_V4;Ts_04_V4;Ts_05_V4;Ts_06_V4;Ts_07_V4;Ts_08_V4;Ts_09_V4;Ts_10_V4;Ts_11_V4;Ts_12_V4;Ts_13_V4;Ts_14_V4;Ts_15_V4;Ts_16_V4;Ts_17_V4;Ts_18_V4;Ts_19_V4;Ts_20_V4;Ts_21_V4;Ts_22_V4;Ts_23_V4;Ts_24_V4;Ts_25_V4;Ts_26_V4;Ts_27_V4;Ts_28_V4;Ts_29_V4;Ts_30_V4;Ts_31_V4;Ts_32_V4;Ts_33_V4;Ts_34_V4;Ts_35_V4;Ts_36_V4;Ts_37_V4;main_01_V1;main_02_V1;main_03_V1;main_04_V1;main_05_V1;main_06_V1;main_07_V1;main_08_V1;main_09_V1;main_10_V1;main_11_V1;main_12_V1;main_13_V1;main_14_V1;main_15_V1;main_16_V1;main_17_V1;main_18_V1;main_19_V1;main_20_V1;main_21_V1;main_22_V1;main_23_V1;main_24_V1;main_25_V1;main_26_V1;main_27_V1;main_28_V1;main_29_V1;main_30_V1;main_31_V1;main_32_V1;main_33_V1
Ts_01_V4;1;NA;NA;NA;NA;0.576637671861942;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.570782225626686;NA;NA;NA;NA;NA;NA;-0.682970052574554;-0.548679367490782;NA;NA;NA;NA;-0.538579511113798;-0.526873693558325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.520543350149095;-0.715615904945045;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.53933678475595;NA;NA;NA;NA;NA;NA;NA;0.713422461573861;NA;NA;0.513581660288868;NA;NA;NA;NA;NA;NA;-0.538041683330475
Ts_02_V4;NA;1;0.521273155359116;NA;NA;0.673871646079343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.660242064156253;NA;NA;-0.544606245075222;NA;NA;NA;NA;NA;NA;NA;-0.548741517546514;NA;NA;NA;NA;-0.503183504447686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.549948287466538;NA;NA;NA;NA;NA;NA;NA
Ts_03_V4;NA;0.521273155359116;1;0.610816604255859;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.744164979507838;NA;NA;NA;NA;-0.59610164622037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.727169752064587;NA;0.555675527922761;NA;NA;NA;NA;NA
Ts_04_V4;NA;NA;0.610816604255859;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.709203974689869;0.608674368182469;NA
Ts_05_V4;NA;NA;NA;NA;1;NA;NA;NA;0.642881937634501;0.552758061753442;NA;0.844567121531247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.669899482542717;NA;NA;NA;NA;NA;NA;NA;NA;0.781249084423087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.603499825373171;NA;NA;NA;NA;NA;NA
Ts_06_V4;0.576637671861942;0.673871646079343;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.500151512299557;NA;NA;-0.564132802426793;NA;-0.668088309299736;NA;NA;NA;-0.510387796893889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.527818756029382;NA;NA;NA;NA;NA;NA;NA
Ts_07_V4;NA;NA;NA;NA;NA;NA;1;0.580384001684679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.655031195664307;NA;NA;NA;NA;NA;NA;0.59125183985547;0.672812147582022;NA
Ts_08_V4;NA;NA;NA;NA;NA;NA;0.580384001684679;1;NA;NA;NA;0.689283453884618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.624016736898827;NA;NA;NA;0.642141320193246;0.735388330302157;NA
Ts_09_V4;NA;NA;NA;NA;0.642881937634501;NA;NA;NA;1;0.561226324260906;NA;NA;NA;NA;NA;-0.529786501222151;0.776984367615235;NA;NA;NA;NA;-0.548951256825769;NA;NA;NA;NA;NA;NA;NA;-0.657805251841374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.543011486503592;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.698468518000552;NA;NA;0.550817895519147;NA;NA;NA;NA;NA;NA;NA
Ts_10_V4;NA;NA;NA;NA;0.552758061753442;NA;NA;NA;0.561226324260906;1;NA;0.595865915165131;NA;NA;NA;NA;NA;NA;NA;NA;-0.5086238982892;NA;NA;NA;NA;0.544996864012473;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.528152785571969;0.573120549076705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
